!
!Date: 01/12/2023
!From: Saccharomyces Genome Database (SGD) 
!URL: http://www.yeastgenome.org/ 
!Contact Email: sgd-helpdesk@lists.stanford.edu 
!Funding: NHGRI at US NIH, grant number 5-U41-HG001315 
!

Gene	Gene Systematic Name	Phenotype	Experiment Type	Experiment Type Category	Mutant Information	Strain Background	Chemical	Details	Reference
RSP5	YER125W	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
RPH1	YER169W	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
WWM1	YFL010C	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
TUB2	YFL037W	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
CDH1	YGL003C	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
TIF4632	YGL049C	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
HUL5	YGL141W	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
SPT6	YGR116W	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
CBF2	YGR140W	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
STE20	YHL007C	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
INM1	YHR046C	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
SMF2	YHR050W	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
NAM8	YHR086W	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
SFB3	YHR098C	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
DMA1	YHR115C	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
NDT80	YHR124W	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
YCK1	YHR135C	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
SKG6	YHR149C	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
SKN7	YHR206W	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
ULP2	YIL031W	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
PRK1	YIL095W	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
SLM1	YIL105C	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
FKH1	YIL131C	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
VHS2	YIL135C	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
MHP1	YJL042W	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
SRS2	YJL092W	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
MRS3	YJL133W	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
PTK2	YJR059W	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
ACF4	YJR083C	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
GRR1	YJR090C	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
SPT23	YKL020C	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
RRN3	YKL125W	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
TPK3	YKL166C	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
MNN4	YKL201C	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
FRE2	YKL220C	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
PAP1	YKR002W	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
ESL2	YKR096W	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
BAS1	YKR099W	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
SSK1	YLR006C	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
TIS11	YLR136C	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
ACS2	YLR153C	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
UCC1	YLR224W	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
ECM22	YLR228C	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
CSC1	YLR241W	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
CQD2	YLR253W	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
SPO77	YLR341W	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
KAP95	YLR347C	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
PPZ1	YML016C	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
YOX1	YML027W	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
NDC1	YML031W	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
TDA9	YML081W	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
CDC5	YMR001C	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
HOF1	YMR032W	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
MOT3	YMR070W	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
SKY1	YMR216C	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
ARK1	YNL020C	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
VAC7	YNL054W	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
FKH2	YNL068C	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
KAR1	YNL188W	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
RAP1	YNL216W	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
SQS1	YNL224C	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
BNI4	YNL233W	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
YIF1	YNL263C	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
BOR1	YNL275W	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
CLA4	YNL298W	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
SKP2	YNL311C	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
TOP1	YOL006C	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
CSI2	YOL007C	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
HRD1	YOL013C	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
MSN1	YOL116W	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
TRM11	YOL124C	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
SLG1	YOR008C	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
CIN5	YOR028C	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
AZF1	YOR113W	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
RGA1	YOR127W	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
NFI1	YOR156C	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
NOC2	YOR206W	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
STE4	YOR212W	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
MYO2	YOR326W	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
SCD5	YOR329C	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
VTS1	YOR359W	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
PDE2	YOR360C	resistance to chemicals: decreased 	systematic mutation set 	large-scale survey	overexpression	S288C	0.2 mM fluconazole	Details: exacerbates toxicity 	Chakrabortee S, et al. (2016) PMID:27693355
